FECHA,GRAVEDAD,ORIGEN_ICAO,DESTINO_ICAO,COMPAÑIA,ID_VUELO,HORA_PROGRAMADA,RETRASO_MIN,ORIGEN
01/01/2026,3,LEMD,LEAL,Air Europa,UX4047,07:05,136,Madrid
01/01/2026,1,LEMD,EHAM,KLM Royal Dutch Airlines,KL1500,06:00,31,Madrid
01/01/2026,1,LEMD,LFPG,Air France,AF1401,06:00,37,Madrid
01/01/2026,1,LEMD,GCRR,Ryanair,FR2015,06:10,36,Madrid
01/01/2026,1,LEMD,EBCI,Ryanair,FR5462,06:10,44,Madrid
01/01/2026,0,LEMD,LTFM,Turkish Airlines,TK1360,06:20,13,Madrid
01/01/2026,1,LEMD,EBBR,Brussels Airlines,SN3732,06:25,31,Madrid
01/01/2026,0,LEMD,LPPR,Ethiopian Airlines,ET740,06:25,18,Madrid
01/01/2026,1,LEMD,LPPT,Air Europa,UX1159,06:30,23,Madrid
01/01/2026,2,LEMD,SKBO,Avianca,AV27,06:35,74,Madrid
01/01/2026,1,LEMD,LPPR,Air Europa,UX1147,06:35,28,Madrid
01/01/2026,2,LEMD,LFPO,Transavia France,TO4781,06:45,50,Madrid
01/01/2026,1,LEMD,EGLL,Iberia,IB711,06:45,22,Madrid
01/01/2026,1,LEMD,LIPZ,Air Europa,UX1081,06:55,27,Madrid
01/01/2026,1,LEMD,GCLP,Binter Canarias,NT6017,07:00,22,Madrid
01/01/2026,1,LEMD,GCXO,Binter Canarias,NT6073,07:00,28,Madrid
01/01/2026,1,LEMD,LIRF,Air Europa,UX1043,07:05,33,Madrid
01/01/2026,0,LEMD,LEPA,Iberia,IB1651,07:05,14,Madrid
01/01/2026,1,LEMD,EDDF,Air Europa,UX1503,07:05,25,Madrid
01/01/2026,0,LEMD,EHAM,Air Europa,UX1091,07:05,18,Madrid
01/01/2026,0,LEMD,GCXO,Air Europa,UX9059,07:05,16,Madrid
01/01/2026,0,LEMD,LEBL,Iberia,IB403,07:05,10,Madrid
01/01/2026,1,LEMD,LEVC,Air Europa,UX4063,07:05,42,Madrid
01/01/2026,3,LEMD,LEAL,Air Europa,UX4047,07:05,136,Madrid
01/01/2026,1,LEMD,EDDM,Air Europa,UX1515,07:05,23,Madrid
01/01/2026,1,LEMD,GCLP,Air Europa,UX9156,07:05,20,Madrid
01/01/2026,1,LEMD,LIMF,Ryanair,FR5897,07:10,35,Madrid
01/01/2026,1,LEMD,LFBO,Iberia,IB1189,07:10,43,Madrid
01/01/2026,1,LEMD,LEXJ,Iberia,IB489,07:10,23,Madrid
01/01/2026,2,LEMD,LIMC,Air Europa,UX1065,07:10,49,Madrid
01/01/2026,1,LEMD,LFPO,Air Europa,UX1027,08:00,38,Madrid
01/01/2026,1,LEMD,LEIB,Ryanair,FR5354,08:00,37,Madrid
01/01/2026,1,LEMD,LEVC,Iberia,IB1079,08:00,22,Madrid
01/01/2026,3,LEMD,OTHH,Iberia,IB391,08:10,103,Madrid
01/01/2026,0,LEMD,LEGR,Iberia,IB1019,08:15,12,Madrid
01/01/2026,0,LEMD,LEPA,Air Europa,UX6031,08:20,12,Madrid
01/01/2026,1,LEMD,LFOB,Ryanair,FR5444,08:20,39,Madrid
01/01/2026,0,LEMD,LEBL,Iberia,IB407,08:25,16,Madrid
01/01/2026,0,LEMD,LEVX,Iberia,IB1127,08:25,18,Madrid
01/01/2026,0,LEMD,LEPA,Ryanair,FR2063,08:25,10,Madrid
01/01/2026,0,LEMD,LLBG,Air Europa,UX1301,08:35,16,Madrid
01/01/2026,2,LEMD,LIMC,Ryanair,FR3009,08:40,72,Madrid
01/01/2026,1,LEMD,EDDF,Iberia,IB1327,08:40,32,Madrid
01/01/2026,1,LEMD,LOWW,Iberia,IB791,08:40,41,Madrid
01/01/2026,3,LEMD,LIRF,Iberia,IB647,08:45,123,Madrid
01/01/2026,1,LEMD,EDDL,Iberia,IB751,08:45,22,Madrid
01/01/2026,0,LEMD,GCRR,Iberia,IB1501,08:45,13,Madrid
01/01/2026,1,LEMD,LIML,Iberia,IB663,08:45,23,Madrid
01/01/2026,1,LEMD,LSZH,Iberia,IB627,08:45,25,Madrid
01/01/2026,0,LEMD,GCXO,Iberia,IB1565,08:45,11,Madrid
01/01/2026,1,LEMD,EHAM,Iberia,IB731,08:45,43,Madrid
01/01/2026,0,LEMD,SAEZ,Iberia,IB105,08:45,15,Madrid
01/01/2026,0,LEMD,EDDM,Iberia,IB1309,08:50,14,Madrid
01/01/2026,2,LEMD,LEPP,Iberia,IB1049,08:50,75,Madrid
01/01/2026,0,LEMD,LPPT,easyJet,U27640,08:55,12,Madrid
01/01/2026,1,LEMD,LIPZ,Iberia,IB677,09:00,36,Madrid
01/01/2026,0,LEMD,EBBR,Iberia,IB597,09:05,11,Madrid
01/01/2026,1,LEMD,LFPO,Transavia France,TO4631,09:05,28,Madrid
01/01/2026,1,LEMD,EGLL,Iberia,IB715,09:05,25,Madrid
01/01/2026,0,LEMD,LTFM,Air Europa,UX1683,09:10,13,Madrid
01/01/2026,1,LEMD,LFMN,Iberia,IB1211,10:00,23,Madrid
01/01/2026,0,LEMD,KMIA,American Airlines,AA69,10:00,14,Madrid
01/01/2026,1,LEMD,LFPG,Air France,AF1001,10:00,36,Madrid
01/01/2026,1,LEMD,EGSS,Ryanair,FR5997,10:00,22,Madrid
01/01/2026,0,LEMD,KJFK,Delta Air Lines,DL127,10:00,19,Madrid
01/01/2026,1,LEMD,LFLL,Iberia,IB1179,10:05,21,Madrid
01/01/2026,0,LEMD,ESSA,Iberia,IB823,10:05,13,Madrid
01/01/2026,0,LEMD,LEPA,Ryanair,FR2051,10:05,12,Madrid
01/01/2026,2,LEMD,LKPR,Ryanair,FR2766,10:05,71,Madrid
01/01/2026,2,LEMD,LSZH,Swiss,LX2027,10:10,64,Madrid
01/01/2026,1,LEMD,EFHK,Finnair,AY1662,10:10,30,Madrid
01/01/2026,2,LEMD,LEPA,Air Europa,UX6013,10:15,47,Madrid
01/01/2026,0,LEMD,EGGW,easyJet,U22306,10:15,18,Madrid
01/01/2026,2,LEMD,EDDB,Ryanair,FR2528,10:20,48,Madrid
01/01/2026,1,LEMD,LFML,Iberia,IB1169,10:20,26,Madrid
01/01/2026,0,LEMD,LPPT,TAP - Air Portugal,TP1011,10:20,18,Madrid
01/01/2026,2,LEMD,LIMC,Wizz Air Malta,W46312,10:25,57,Madrid
01/01/2026,2,LEMD,ZUCK,Hainan Airlines,HU728,10:25,47,Madrid
01/01/2026,1,LEMD,LHBP,Ryanair,FR5713,10:25,44,Madrid
01/01/2026,0,LEMD,LPPT,Air Europa,UX1153,10:25,15,Madrid
01/01/2026,0,LEMD,ZSPD,China Eastern Airlines,MU710,10:30,13,Madrid
01/01/2026,1,LEMD,MMMY,Aeroméxico,AM35,10:30,25,Madrid
01/01/2026,0,LEMD,LEMG,Air Europa,UX5043,10:35,16,Madrid
01/01/2026,0,LEMD,LECO,Air Europa,UX7231,10:35,14,Madrid
01/01/2026,0,LEMD,ENGM,Iberia,IB953,10:35,13,Madrid
01/01/2026,1,LEMD,EGLL,British Airways,BA457,10:35,36,Madrid
01/01/2026,0,LEMD,LPPR,Air Europa,UX1145,10:35,8,Madrid
01/01/2026,0,LEMD,LEVX,Air Europa,UX7302,10:40,19,Madrid
01/01/2026,1,LEMD,LGAV,Iberia,IB833,10:40,30,Madrid
01/01/2026,0,LEMD,EIDW,Aer Lingus,EI593,10:40,17,Madrid
01/01/2026,0,LEMD,EGLL,British Airways,BA459,12:00,12,Madrid
01/01/2026,2,LEMD,KORD,Iberia,IB341,12:00,49,Madrid
01/01/2026,0,LEMD,GCLP,Binter Canarias,NT6007,12:00,9,Madrid
01/01/2026,1,LEMD,LKPR,Iberia,IB809,12:00,23,Madrid
01/01/2026,1,LEMD,MGGT,Iberia,IB221,12:05,38,Madrid
01/01/2026,1,LEMD,GMMX,Iberia,IB1851,12:05,25,Madrid
01/01/2026,2,LEMD,SKBO,Iberia,IB151,12:05,57,Madrid
01/01/2026,1,LEMD,GCTS,Iberia,IB1545,12:10,24,Madrid
01/01/2026,1,LEMD,KJFK,Iberia,IB211,12:10,26,Madrid
01/01/2026,0,LEMD,LPPT,TAP - Air Portugal,TP1013,12:10,16,Madrid
01/01/2026,1,LEMD,SEQM,Iberia,IB137,12:15,39,Madrid
01/01/2026,0,LEMD,EDDH,Iberia,IB773,12:15,11,Madrid
01/01/2026,0,LEMD,LLBG,El Al Israel Airlines,LY396,12:15,19,Madrid
01/01/2026,2,LEMD,SAEZ,Iberia,IB107,12:15,68,Madrid
01/01/2026,0,LEMD,EBBR,Iberia,IB599,12:20,13,Madrid
01/01/2026,1,LEMD,ENGM,Norwegian Air Shuttle,DY1719,12:20,28,Madrid
01/01/2026,2,LEMD,EHAM,Iberia,IB737,12:20,56,Madrid
01/01/2026,0,LEMD,ZBAA,Air China,CA908,12:20,16,Madrid
01/01/2026,0,LEMD,GCXO,Binter Canarias,NT6063,12:20,7,Madrid
01/01/2026,2,LEMD,MROC,Iberia,IB243,12:25,48,Madrid
01/01/2026,3,LEMD,DAAG,Air Algérie,AH2007,12:30,267,Madrid
01/01/2026,1,LEMD,EGKK,easyJet,U28020,12:30,27,Madrid
01/01/2026,1,LEMD,MUHA,Iberia,IB273,12:30,34,Madrid
01/01/2026,1,LEMD,KBOS,Iberia,IB347,12:30,28,Madrid
01/01/2026,0,LEMD,LFRS,Volotea Airlines,V72273,12:30,15,Madrid
01/01/2026,1,LEMD,EPKK,Ryanair,FR5356,12:35,24,Madrid
01/01/2026,1,LEMD,LFPG,Air France,AF1301,12:35,22,Madrid
01/01/2026,2,LEMD,LEAM,Iberia,IB1031,12:35,53,Madrid
01/01/2026,0,LEMD,LFBO,Volotea Airlines,V72371,12:35,15,Madrid
01/01/2026,1,LEMD,LOWW,Ryanair,FR690,14:00,45,Madrid
01/01/2026,0,LEMD,LEPA,Iberia,IB1663,14:05,13,Madrid
01/01/2026,0,LEMD,EBBR,Ryanair,FR2952,14:15,15,Madrid
01/01/2026,2,LEMD,LGAV,Sky Express,GQ921,14:15,48,Madrid
01/01/2026,0,LEMD,LTFM,Turkish Airlines,TK1358,14:25,14,Madrid
01/01/2026,1,LEMD,LFPO,Air Europa,UX1029,14:25,21,Madrid
01/01/2026,2,LEMD,LFLL,Volotea Airlines,V72661,14:25,46,Madrid
01/01/2026,1,LEMD,LFPO,Iberia,IB577,14:25,25,Madrid
01/01/2026,0,LEMD,MUHA,Welcome Air,2W1505,14:30,16,Madrid
01/01/2026,1,LEMD,LEPA,Air Europa,UX6067,14:35,21,Madrid
01/01/2026,0,LEMD,LIRQ,Vueling,VY1499,14:35,19,Madrid
01/01/2026,1,LEMD,EGLL,British Airways,BA463,14:35,22,Madrid
01/01/2026,1,LEMD,OMDB,Emirates,EK142,14:35,37,Madrid
01/01/2026,1,LEMD,GMTT,Air Arabia Maroc,3O392,14:45,38,Madrid
01/01/2026,1,LEMD,LFPO,Transavia France,TO4635,14:50,36,Madrid
01/01/2026,2,LEMD,HECA,EgyptAir,MS754,14:50,46,Madrid
01/01/2026,1,LEMD,LEBL,Iberia,IB415,14:55,23,Madrid
01/01/2026,0,LEMD,LEVC,Air Europa,UX4065,14:55,14,Madrid
01/01/2026,1,LEMD,LPPT,Air Europa,UX1155,14:55,26,Madrid
01/01/2026,1,LEMD,LSZH,Air Europa,UX1671,14:55,21,Madrid
01/01/2026,0,LEMD,LEVX,Air Europa,UX7300,14:55,12,Madrid
01/01/2026,3,LEMD,LPPT,TAP - Air Portugal,TP1015,14:55,118,Madrid
01/01/2026,1,LEMD,LPPR,Air Europa,UX1143,15:00,25,Madrid
01/01/2026,1,LEMD,LIRF,Air Europa,UX1047,15:00,25,Madrid
01/01/2026,0,LEMD,LEMG,Air Europa,UX5039,15:00,16,Madrid
01/01/2026,1,LEMD,EHAM,Air Europa,UX1093,15:00,39,Madrid
01/01/2026,1,LEMD,EGKK,Air Europa,UX1015,15:00,27,Madrid
01/01/2026,1,LEMD,GCXO,Air Europa,UX9048,15:00,33,Madrid
01/01/2026,1,LEMD,EDDM,Air Europa,UX1517,15:00,22,Madrid
01/01/2026,0,LEMD,LEBB,Air Europa,UX7153,15:00,14,Madrid
01/01/2026,1,LEMD,GCLP,Iberia,IB1621,16:00,21,Madrid
01/01/2026,1,LEMD,LEXJ,Iberia,IB1063,16:00,24,Madrid
01/01/2026,1,LEMD,KJFK,Iberia,IB325,16:00,31,Madrid
01/01/2026,0,LEMD,LEVC,Iberia,IB1081,16:00,9,Madrid
01/01/2026,1,LEMD,EGCC,Iberia,IB1893,16:05,22,Madrid
01/01/2026,0,LEMD,EDDF,Iberia,IB765,16:05,12,Madrid
01/01/2026,0,LEMD,LOWW,Iberia,IB795,16:05,18,Madrid
01/01/2026,1,LEMD,LFPO,Iberia,IB579,16:05,20,Madrid
01/01/2026,0,LEMD,EPKK,Ryanair,FR5516,16:10,19,Madrid
01/01/2026,0,LEMD,LIMC,Iberia,IB675,16:10,15,Madrid
01/01/2026,0,LEMD,EHAM,Iberia,IB733,16:15,15,Madrid
01/01/2026,2,LEMD,MDSD,Air Europa,UX89,16:15,88,Madrid
01/01/2026,2,LEMD,LFMN,Iberia,IB1213,16:20,60,Madrid
01/01/2026,3,LEMD,SKBO,Avianca,AV11,16:20,768,Madrid
01/01/2026,1,LEMD,EDDM,Iberia,IB1313,16:20,25,Madrid
01/01/2026,1,LEMD,MDSD,Welcome Air,2W3409,16:20,30,Madrid
01/01/2026,0,LEMD,EDDL,Iberia,IB1323,16:20,19,Madrid
01/01/2026,0,LEMD,KMIA,Iberia,IB337,16:25,19,Madrid
01/01/2026,0,LEMD,EGGD,Ryanair,FR154,16:25,8,Madrid
01/01/2026,0,LEMD,LFPG,Air France,AF1601,16:25,13,Madrid
01/01/2026,0,LEMD,GMMN,Iberia,IB1357,16:25,17,Madrid
01/01/2026,1,LEMD,LIPZ,Iberia,IB1263,16:30,21,Madrid
01/01/2026,1,LEMD,LIME,Ryanair,FR5983,16:30,28,Madrid
01/01/2026,1,LEMD,LYBE,Air Serbia,JU571,16:30,23,Madrid
01/01/2026,0,LEMD,SKBO,Iberia,IB153,16:30,15,Madrid
01/01/2026,1,LEMD,HECA,Iberia,IB1903,16:30,22,Madrid
01/01/2026,1,LEMD,LFPO,Air Europa,UX1025,16:30,25,Madrid
01/01/2026,1,LEMD,EBBR,Iberia,IB601,16:35,21,Madrid
01/01/2026,1,LEMD,LSZH,Iberia,IB631,16:35,27,Madrid
01/01/2026,1,LEMD,LIRF,Alitalia,AZ63,18:00,31,Madrid
01/01/2026,2,LEMD,LPPT,TAP - Air Portugal,TP1017,18:00,56,Madrid
01/01/2026,0,LEMD,GOBD,Iberia,IB921,18:00,16,Madrid
01/01/2026,0,LEMD,EGLL,British Airways,BA465,18:05,13,Madrid
01/01/2026,1,LEMD,LFPO,Iberia,IB581,18:05,24,Madrid
01/01/2026,2,LEMD,EGSS,Ryanair,FR5995,18:10,48,Madrid
01/01/2026,0,LEMD,LROP,Wizz Air Malta,W43174,18:30,19,Madrid
01/01/2026,2,LEMD,EDDM,Lufthansa,LH1805,18:35,47,Madrid
01/01/2026,0,LEMD,GCXO,Iberia,IB1585,18:40,11,Madrid
01/01/2026,0,LEMD,GCLP,Iberia,IB1625,18:45,7,Madrid
01/01/2026,1,LEMD,LFPG,Air France,AF1801,18:45,33,Madrid
01/01/2026,1,LEMD,LIRF,Ryanair,FR9674,18:55,21,Madrid
01/01/2026,0,LEMD,LPPT,Air Europa,UX1157,18:55,6,Madrid
01/01/2026,1,LEMD,LEPA,Air Europa,UX6097,19:00,35,Madrid
01/01/2026,0,LEMD,LPPR,Air Europa,UX1141,19:05,10,Madrid
01/01/2026,2,LEMD,EPWA,Wizz Air,W61472,19:05,64,Madrid
01/01/2026,0,LEMD,GMTT,Ryanair,FR3876,19:05,13,Madrid
01/01/2026,0,LEMD,LEMG,Air Europa,UX5047,19:05,16,Madrid
01/01/2026,1,LEMD,GMMN,Royal Air Maroc,AT971,19:05,39,Madrid
01/01/2026,0,LEMD,LEBB,Air Europa,UX7159,19:05,1,Madrid
01/01/2026,1,LEMD,LEPA,Ryanair,FR2061,19:05,21,Madrid
01/01/2026,1,LEMD,LEVX,Air Europa,UX7306,19:10,26,Madrid
01/01/2026,0,LEMD,LECO,Air Europa,UX7237,19:10,13,Madrid
01/01/2026,0,LEMD,LEBL,Iberia,IB423,19:10,15,Madrid
01/01/2026,0,LEMD,SAEZ,Aerolineas Argentinas,AR1133,19:10,18,Madrid
01/01/2026,2,LEMD,LIRN,Ryanair,FR1306,19:15,61,Madrid
01/01/2026,0,LEMD,EGLL,British Airways,BA467,19:25,14,Madrid
01/01/2026,1,LEMD,LIME,Ryanair,FR5493,19:30,35,Madrid
01/01/2026,0,LEMD,GEML,Iberia,IB2298,19:30,18,Madrid
01/01/2026,2,LEMD,LIRP,Ryanair,FR9472,19:35,68,Madrid
01/01/2026,2,LEMD,EDDL,Iberia,IB757,20:00,49,Madrid
01/01/2026,1,LEMD,EKCH,Ryanair,FR607,20:00,22,Madrid
01/01/2026,1,LEMD,LFPO,Transavia France,TO4639,20:00,35,Madrid
01/01/2026,2,LEMD,LEBL,Iberia,IB425,20:00,51,Madrid
01/01/2026,0,LEMD,EDDM,Iberia,IB1315,20:00,8,Madrid
01/01/2026,1,LEMD,LSZH,Iberia,IB633,20:00,30,Madrid
01/01/2026,1,LEMD,LFPG,Air France,AF1101,20:05,23,Madrid
01/01/2026,1,LEMD,EDDB,Iberia,IB1813,20:05,26,Madrid
01/01/2026,0,LEMD,GCLP,Iberia,IB1629,20:05,11,Madrid
01/01/2026,0,LEMD,GCLP,Air Europa,UX9172,20:05,9,Madrid
01/01/2026,1,LEMD,EBBR,Iberia,IB603,20:10,22,Madrid
01/01/2026,2,LEMD,EPGD,Wizz Air,W61702,20:10,62,Madrid
01/01/2026,0,LEMD,LFPO,Iberia,IB583,20:10,13,Madrid
01/01/2026,1,LEMD,GCLP,Binter Canarias,NT6005,20:15,31,Madrid
01/01/2026,0,LEMD,LEMH,Iberia,IB1041,20:15,19,Madrid
01/01/2026,1,LEMD,GCXO,Binter Canarias,NT6065,20:15,25,Madrid
01/01/2026,1,LEMD,LHBP,Wizz Air,W62372,20:15,22,Madrid
01/01/2026,2,LEMD,LSGG,Iberia,IB621,20:20,54,Madrid
