FECHA / ESTADO,Vuelo,A,SALIDA PROGRAMADA,PARTIDA,LLEGADO,DURACIÓN,Origen,ICAO
"jue, 01. ene  01 ene 08:05 CET  Aterrizado",FR4539 RYR4539  Ryanair FR/RYR,Tetuan (TTU / GMTN),01 ene 08:05 CET  01 ene 07:05 UTC,01 ene 08:17 CET  12 min tarde,01 ene 08:37 UTC+01  12 min temprano,20m,Málaga,LEMG
"jue, 01. ene  01 ene 08:45 CET  Aterrizado",IB2272 ANE63GR  Iberia IB/IBE,Melilla (MLN / GEML),01 ene 08:45 CET  01 ene 07:45 UTC,01 ene 08:45 CET  a tiempo,01 ene 09:25 CET  19 min temprano,39m,Málaga,LEMG
"jue, 01. ene  01 ene 08:50 CET  Aterrizado",FR482 RYR40GT  Ryanair FR/RYR,Barcelona (BCN / LEBL),01 ene 08:50 CET  01 ene 07:50 UTC,01 ene 08:58 CET  8 min tarde,01 ene 10:11 CET  18 min temprano,1h 13m,Málaga,LEMG
"jue, 01. ene  01 ene 09:05 CET  Aterrizado",FR2334 RYR30VW  Ryanair FR/RYR,Amsterdam (AMS / EHAM),01 ene 09:05 CET  01 ene 08:05 UTC,01 ene 10:06 CET  1 h 1 min tarde,01 ene 12:47 CET  32 min tarde,2h 40m,Málaga,LEMG
"jue, 01. ene  01 ene 09:10 CET  Aterrizado",IB528 IBE05FL  Iberia IB/IBE,Madrid (MAD / LEMD),01 ene 09:10 CET  01 ene 08:10 UTC,01 ene 09:38 CET  28 min tarde,01 ene 10:31 CET  1 min tarde,52m,Málaga,LEMG
"jue, 01. ene  01 ene 09:10 CET  Aterrizado",FR6106 RYR65PP  Ryanair FR/RYR,Rome (FCO / LIRF),01 ene 09:10 CET  01 ene 08:10 UTC,01 ene 09:49 CET  39 min tarde,01 ene 11:56 CET  11 min tarde,2h 7m,Málaga,LEMG
"jue, 01. ene  01 ene 09:10 CET  Aterrizado",FR4687 RYR295U  Ryanair FR/RYR,Stockholm (ARN / ESSA),01 ene 09:10 CET  01 ene 08:10 UTC,01 ene 09:20 CET  10 min tarde,01 ene 13:28 CET  6 min temprano,4h 8m,Málaga,LEMG
"jue, 01. ene  01 ene 09:25 CET  Aterrizado",W46308 WMT2551  Wizz Air Malta W4/WMT,Milan (MXP / LIMC),01 ene 09:25 CET  01 ene 08:25 UTC,01 ene 09:41 CET  16 min tarde,01 ene 11:42 CET  17 min temprano,2h 1m,Málaga,LEMG
"jue, 01. ene  01 ene 09:25 CET  Aterrizado",VY2114 VLG87YB  Vueling VY/VLG,Barcelona (BCN / LEBL),01 ene 09:25 CET  01 ene 08:25 UTC,01 ene 09:32 CET  7 min tarde,01 ene 10:50 CET  10 min temprano,1h 17m,Málaga,LEMG
"jue, 01. ene  01 ene 09:30 CET  Aterrizado",FR2541 RYR64TW  Ryanair FR/RYR,Memmingen (FMM / EDJA),01 ene 09:30 CET  01 ene 08:30 UTC,01 ene 10:30 CET  1 h 0 min tarde,01 ene 13:05 CET  40 min tarde,2h 34m,Málaga,LEMG
"jue, 01. ene  01 ene 09:40 CET  Aterrizado",FR600 RYR78JJ  Ryanair FR/RYR,Zagreb (ZAG / LDZA),01 ene 09:40 CET  01 ene 08:40 UTC,01 ene 10:02 CET  22 min tarde,01 ene 12:44 CET  a tiempo,2h 42m,Málaga,LEMG
"jue, 01. ene  01 ene 09:50 CET  Aterrizado",TB1012 JAF7VB  TUI Airlines Belgium TB/JAF,Brussels (BRU / EBBR),01 ene 09:50 CET  01 ene 08:50 UTC,01 ene 10:11 CET  21 min tarde,01 ene 12:40 CET  19 min temprano,2h 29m,Málaga,LEMG
"jue, 01. ene  01 ene 05:45 CET  Aterrizado",FR430 RYR16LU  Ryanair FR/RYR,Newcastle (NCL / EGNT),01 ene 05:45 CET  01 ene 04:45 UTC,01 ene 05:49 CET  4 min tarde,01 ene 07:49 GMT  15 min temprano,2h 59m,Málaga,LEMG
"jue, 01. ene  01 ene 05:45 CET  Aterrizado",FR4949 RYR34TL  Ryanair FR/RYR,Milan (MXP / LIMC),01 ene 05:45 CET  01 ene 04:45 UTC,01 ene 06:01 CET  16 min tarde,01 ene 08:08 CET  16 min temprano,2h 7m,Málaga,LEMG
"jue, 01. ene  01 ene 06:00 CET  Aterrizado",FR7775 RYR15SH  Ryanair FR/RYR,Marseille (MRS / LFML),01 ene 06:00 CET  01 ene 05:00 UTC,01 ene 06:10 CET  10 min tarde,01 ene 07:52 CET  12 min temprano,1h 41m,Málaga,LEMG
"jue, 01. ene  01 ene 06:00 CET  Aterrizado",FR5945 RYR65FB  Ryanair FR/RYR,Bournemouth (BOH / EGHH),01 ene 06:00 CET  01 ene 05:00 UTC,01 ene 06:06 CET  6 min tarde,01 ene 07:23 GMT  16 min temprano,2h 16m,Málaga,LEMG
"jue, 01. ene  01 ene 06:05 CET  Aterrizado",AF1749 AFR18FQ  Air France AF/AFR,Paris (CDG / LFPG),01 ene 06:05 CET  01 ene 05:05 UTC,01 ene 06:25 CET  20 min tarde,01 ene 08:36 CET  8 min temprano,2h 10m,Málaga,LEMG
"jue, 01. ene  01 ene 06:15 CET  Aterrizado",FR3293 RYR51MN  Ryanair FR/RYR,Riga (RIX / EVRA),01 ene 06:15 CET  01 ene 05:15 UTC,01 ene 06:22 CET  7 min tarde,01 ene 16:55 EET  5 h 10 min tarde,9h 33m,Málaga,LEMG
"jue, 01. ene  01 ene 06:30 CET  Aterrizado",FR233 RYR434F  Ryanair FR/RYR,Berlin (BER / EDDB),01 ene 06:30 CET  01 ene 05:30 UTC,01 ene 06:33 CET  3 min tarde,01 ene 09:39 CET  20 min temprano,3h 6m,Málaga,LEMG
"jue, 01. ene  01 ene 06:35 CET  Aterrizado",VY2608 VLG6HP  Vueling VY/VLG,Bilbao (BIO / LEBB),01 ene 06:35 CET  01 ene 05:35 UTC,01 ene 06:38 CET  3 min tarde,01 ene 07:47 CET  22 min temprano,1h 9m,Málaga,LEMG
"jue, 01. ene  01 ene 06:40 CET  Aterrizado",FR6639 RYR50BW  Ryanair FR/RYR,Warsaw (WAW / EPWA),01 ene 06:40 CET  01 ene 05:40 UTC,01 ene 06:53 CET  13 min tarde,01 ene 10:21 CET  13 min temprano,3h 27m,Málaga,LEMG
"jue, 01. ene  01 ene 06:50 CET  Aterrizado",VY6614 VLG6614  Vueling VY/VLG,London (LGW / EGKK),01 ene 06:50 CET  01 ene 05:50 UTC,01 ene 06:55 CET  5 min tarde,01 ene 08:20 GMT  34 min temprano,2h 24m,Málaga,LEMG
"jue, 01. ene  01 ene 07:00 CET  Aterrizado",D85024 NSZ5024  Norwegian Air International D8/IBK,Oslo (OSL / ENGM),01 ene 07:00 CET  01 ene 06:00 UTC,01 ene 07:11 CET  11 min tarde,01 ene 10:54 CET  15 min temprano,3h 42m,Málaga,LEMG
"jue, 01. ene  01 ene 07:00 CET  Aterrizado",FR598 RYR75BM  Ryanair FR/RYR,Bucharest (OTP / LROP),01 ene 07:00 CET  01 ene 06:00 UTC,01 ene 07:13 CET  13 min tarde,01 ene 11:44 EET  10 min temprano,3h 30m,Málaga,LEMG
"jue, 01. ene  01 ene 07:00 CET  Aterrizado",FR958 RYR958  Ryanair FR/RYR,Hahn (HHN / EDFH),01 ene 07:00 CET  01 ene 06:00 UTC,01 ene 07:50 CET  50 min tarde,01 ene 10:21 CET  21 min tarde,2h 30m,Málaga,LEMG
"jue, 01. ene  01 ene 07:00 CET  Aterrizado",FR3233 RYR49LH  Ryanair FR/RYR,Manchester (MAN / EGCC),01 ene 07:00 CET  01 ene 06:00 UTC,01 ene 07:06 CET  6 min tarde,01 ene 08:49 GMT  15 min temprano,2h 42m,Málaga,LEMG
"jue, 01. ene  01 ene 07:15 CET  Aterrizado",VY3064 VLG79F  Vueling VY/VLG,Las Palmas (LPA / GCLP),01 ene 07:15 CET  01 ene 06:15 UTC,01 ene 07:26 CET  11 min tarde,01 ene 08:35 WET  9 min temprano,2h 9m,Málaga,LEMG
"jue, 01. ene  01 ene 07:30 CET  Aterrizado",VY2120 VLG4HM  Vueling VY/VLG,Barcelona (BCN / LEBL),01 ene 07:30 CET  01 ene 06:30 UTC,01 ene 09:03 CET  1 h 33 min tarde,01 ene 10:17 CET  1 h 12 min tarde,1h 14m,Málaga,LEMG
"jue, 01. ene  01 ene 07:45 CET  Aterrizado",FR2924 RYR54TE  Ryanair FR/RYR,Brussels (BRU / EBBR),01 ene 07:45 CET  01 ene 06:45 UTC,01 ene 08:01 CET  16 min tarde,01 ene 10:29 CET  10 min temprano,2h 27m,Málaga,LEMG
"jue, 01. ene  01 ene 07:50 CET  Aterrizado",FR1915 RYR14JP  Ryanair FR/RYR,Brussels (CRL / EBCI),01 ene 07:50 CET  01 ene 06:50 UTC,01 ene 07:59 CET  9 min tarde,01 ene 10:20 CET  19 min temprano,2h 20m,Málaga,LEMG
"jue, 01. ene  01 ene 08:05 CET  Aterrizado",FR4539 RYR4539  Ryanair FR/RYR,Tetuan (TTU / GMTN),01 ene 08:05 CET  01 ene 07:05 UTC,01 ene 08:17 CET  12 min tarde,01 ene 08:37 UTC+01  12 min temprano,20m,Málaga,LEMG
"jue, 01. ene  01 ene 08:45 CET  Aterrizado",IB2272 ANE63GR  Iberia IB/IBE,Melilla (MLN / GEML),01 ene 08:45 CET  01 ene 07:45 UTC,01 ene 08:45 CET  a tiempo,01 ene 09:25 CET  19 min temprano,39m,Málaga,LEMG
"jue, 01. ene  01 ene 08:50 CET  Aterrizado",FR482 RYR40GT  Ryanair FR/RYR,Barcelona (BCN / LEBL),01 ene 08:50 CET  01 ene 07:50 UTC,01 ene 08:58 CET  8 min tarde,01 ene 10:11 CET  18 min temprano,1h 13m,Málaga,LEMG
"jue, 01. ene  01 ene 09:05 CET  Aterrizado",FR2334 RYR30VW  Ryanair FR/RYR,Amsterdam (AMS / EHAM),01 ene 09:05 CET  01 ene 08:05 UTC,01 ene 10:06 CET  1 h 1 min tarde,01 ene 12:47 CET  32 min tarde,2h 40m,Málaga,LEMG
"jue, 01. ene  01 ene 09:10 CET  Aterrizado",IB528 IBE05FL  Iberia IB/IBE,Madrid (MAD / LEMD),01 ene 09:10 CET  01 ene 08:10 UTC,01 ene 09:38 CET  28 min tarde,01 ene 10:31 CET  1 min tarde,52m,Málaga,LEMG
"jue, 01. ene  01 ene 09:10 CET  Aterrizado",FR6106 RYR65PP  Ryanair FR/RYR,Rome (FCO / LIRF),01 ene 09:10 CET  01 ene 08:10 UTC,01 ene 09:49 CET  39 min tarde,01 ene 11:56 CET  11 min tarde,2h 7m,Málaga,LEMG
"jue, 01. ene  01 ene 09:10 CET  Aterrizado",FR4687 RYR295U  Ryanair FR/RYR,Stockholm (ARN / ESSA),01 ene 09:10 CET  01 ene 08:10 UTC,01 ene 09:20 CET  10 min tarde,01 ene 13:28 CET  6 min temprano,4h 8m,Málaga,LEMG
"jue, 01. ene  01 ene 09:25 CET  Aterrizado",W46308 WMT2551  Wizz Air Malta W4/WMT,Milan (MXP / LIMC),01 ene 09:25 CET  01 ene 08:25 UTC,01 ene 09:41 CET  16 min tarde,01 ene 11:42 CET  17 min temprano,2h 1m,Málaga,LEMG
"jue, 01. ene  01 ene 09:25 CET  Aterrizado",VY2114 VLG87YB  Vueling VY/VLG,Barcelona (BCN / LEBL),01 ene 09:25 CET  01 ene 08:25 UTC,01 ene 09:32 CET  7 min tarde,01 ene 10:50 CET  10 min temprano,1h 17m,Málaga,LEMG
"jue, 01. ene  01 ene 09:30 CET  Aterrizado",FR2541 RYR64TW  Ryanair FR/RYR,Memmingen (FMM / EDJA),01 ene 09:30 CET  01 ene 08:30 UTC,01 ene 10:30 CET  1 h 0 min tarde,01 ene 13:05 CET  40 min tarde,2h 34m,Málaga,LEMG
"jue, 01. ene  01 ene 09:40 CET  Aterrizado",FR600 RYR78JJ  Ryanair FR/RYR,Zagreb (ZAG / LDZA),01 ene 09:40 CET  01 ene 08:40 UTC,01 ene 10:02 CET  22 min tarde,01 ene 12:44 CET  a tiempo,2h 42m,Málaga,LEMG
"jue, 01. ene  01 ene 09:50 CET  Aterrizado",TB1012 JAF7VB  TUI Airlines Belgium TB/JAF,Brussels (BRU / EBBR),01 ene 09:50 CET  01 ene 08:50 UTC,01 ene 10:11 CET  21 min tarde,01 ene 12:40 CET  19 min temprano,2h 29m,Málaga,LEMG
"jue, 01. ene  01 ene 06:00 CET  Aterrizado",FR7775 RYR15SH  Ryanair FR/RYR,Marseille (MRS / LFML),01 ene 06:00 CET  01 ene 05:00 UTC,01 ene 06:10 CET  10 min tarde,01 ene 07:52 CET  12 min temprano,1h 41m,Málaga,LEMG
"jue, 01. ene  01 ene 06:00 CET  Aterrizado",FR5945 RYR65FB  Ryanair FR/RYR,Bournemouth (BOH / EGHH),01 ene 06:00 CET  01 ene 05:00 UTC,01 ene 06:06 CET  6 min tarde,01 ene 07:23 GMT  16 min temprano,2h 16m,Málaga,LEMG
"jue, 01. ene  01 ene 06:05 CET  Aterrizado",AF1749 AFR18FQ  Air France AF/AFR,Paris (CDG / LFPG),01 ene 06:05 CET  01 ene 05:05 UTC,01 ene 06:25 CET  20 min tarde,01 ene 08:36 CET  8 min temprano,2h 10m,Málaga,LEMG
"jue, 01. ene  01 ene 06:15 CET  Aterrizado",FR3293 RYR51MN  Ryanair FR/RYR,Riga (RIX / EVRA),01 ene 06:15 CET  01 ene 05:15 UTC,01 ene 06:22 CET  7 min tarde,01 ene 16:55 EET  5 h 10 min tarde,9h 33m,Málaga,LEMG
"jue, 01. ene  01 ene 06:30 CET  Aterrizado",FR233 RYR434F  Ryanair FR/RYR,Berlin (BER / EDDB),01 ene 06:30 CET  01 ene 05:30 UTC,01 ene 06:33 CET  3 min tarde,01 ene 09:39 CET  20 min temprano,3h 6m,Málaga,LEMG
"jue, 01. ene  01 ene 06:35 CET  Aterrizado",VY2608 VLG6HP  Vueling VY/VLG,Bilbao (BIO / LEBB),01 ene 06:35 CET  01 ene 05:35 UTC,01 ene 06:38 CET  3 min tarde,01 ene 07:47 CET  22 min temprano,1h 9m,Málaga,LEMG
"jue, 01. ene  01 ene 06:40 CET  Aterrizado",FR6639 RYR50BW  Ryanair FR/RYR,Warsaw (WAW / EPWA),01 ene 06:40 CET  01 ene 05:40 UTC,01 ene 06:53 CET  13 min tarde,01 ene 10:21 CET  13 min temprano,3h 27m,Málaga,LEMG
"jue, 01. ene  01 ene 06:50 CET  Aterrizado",VY6614 VLG6614  Vueling VY/VLG,London (LGW / EGKK),01 ene 06:50 CET  01 ene 05:50 UTC,01 ene 06:55 CET  5 min tarde,01 ene 08:20 GMT  34 min temprano,2h 24m,Málaga,LEMG
"jue, 01. ene  01 ene 07:00 CET  Aterrizado",FR3233 RYR49LH  Ryanair FR/RYR,Manchester (MAN / EGCC),01 ene 07:00 CET  01 ene 06:00 UTC,01 ene 07:06 CET  6 min tarde,01 ene 08:49 GMT  15 min temprano,2h 42m,Málaga,LEMG
"jue, 01. ene  01 ene 07:00 CET  Aterrizado",FR598 RYR75BM  Ryanair FR/RYR,Bucharest (OTP / LROP),01 ene 07:00 CET  01 ene 06:00 UTC,01 ene 07:13 CET  13 min tarde,01 ene 11:44 EET  10 min temprano,3h 30m,Málaga,LEMG
"jue, 01. ene  01 ene 07:00 CET  Aterrizado",D85024 NSZ5024  Norwegian Air International D8/IBK,Oslo (OSL / ENGM),01 ene 07:00 CET  01 ene 06:00 UTC,01 ene 07:11 CET  11 min tarde,01 ene 10:54 CET  15 min temprano,3h 42m,Málaga,LEMG
"jue, 01. ene  01 ene 07:00 CET  Aterrizado",FR958 RYR958  Ryanair FR/RYR,Hahn (HHN / EDFH),01 ene 07:00 CET  01 ene 06:00 UTC,01 ene 07:50 CET  50 min tarde,01 ene 10:21 CET  21 min tarde,2h 30m,Málaga,LEMG
"jue, 01. ene  01 ene 07:15 CET  Aterrizado",VY3064 VLG79F  Vueling VY/VLG,Las Palmas (LPA / GCLP),01 ene 07:15 CET  01 ene 06:15 UTC,01 ene 07:26 CET  11 min tarde,01 ene 08:35 WET  9 min temprano,2h 9m,Málaga,LEMG
"jue, 01. ene  01 ene 07:30 CET  Aterrizado",VY2120 VLG4HM  Vueling VY/VLG,Barcelona (BCN / LEBL),01 ene 07:30 CET  01 ene 06:30 UTC,01 ene 09:03 CET  1 h 33 min tarde,01 ene 10:17 CET  1 h 12 min tarde,1h 14m,Málaga,LEMG
"jue, 01. ene  01 ene 07:45 CET  Aterrizado",FR2924 RYR54TE  Ryanair FR/RYR,Brussels (BRU / EBBR),01 ene 07:45 CET  01 ene 06:45 UTC,01 ene 08:01 CET  16 min tarde,01 ene 10:29 CET  10 min temprano,2h 27m,Málaga,LEMG
"jue, 01. ene  01 ene 07:50 CET  Aterrizado",FR1915 RYR14JP  Ryanair FR/RYR,Brussels (CRL / EBCI),01 ene 07:50 CET  01 ene 06:50 UTC,01 ene 07:59 CET  9 min tarde,01 ene 10:20 CET  19 min temprano,2h 20m,Málaga,LEMG
"jue, 01. ene  01 ene 08:05 CET  Aterrizado",FR4539 RYR4539  Ryanair FR/RYR,Tetuan (TTU / GMTN),01 ene 08:05 CET  01 ene 07:05 UTC,01 ene 08:17 CET  12 min tarde,01 ene 08:37 UTC+01  12 min temprano,20m,Málaga,LEMG
"jue, 01. ene  01 ene 08:45 CET  Aterrizado",IB2272 ANE63GR  Iberia IB/IBE,Melilla (MLN / GEML),01 ene 08:45 CET  01 ene 07:45 UTC,01 ene 08:45 CET  a tiempo,01 ene 09:25 CET  19 min temprano,39m,Málaga,LEMG
"jue, 01. ene  01 ene 08:50 CET  Aterrizado",FR482 RYR40GT  Ryanair FR/RYR,Barcelona (BCN / LEBL),01 ene 08:50 CET  01 ene 07:50 UTC,01 ene 08:58 CET  8 min tarde,01 ene 10:11 CET  18 min temprano,1h 13m,Málaga,LEMG
"jue, 01. ene  01 ene 09:05 CET  Aterrizado",FR2334 RYR30VW  Ryanair FR/RYR,Amsterdam (AMS / EHAM),01 ene 09:05 CET  01 ene 08:05 UTC,01 ene 10:06 CET  1 h 1 min tarde,01 ene 12:47 CET  32 min tarde,2h 40m,Málaga,LEMG
"jue, 01. ene  01 ene 09:10 CET  Aterrizado",IB528 IBE05FL  Iberia IB/IBE,Madrid (MAD / LEMD),01 ene 09:10 CET  01 ene 08:10 UTC,01 ene 09:38 CET  28 min tarde,01 ene 10:31 CET  1 min tarde,52m,Málaga,LEMG
"jue, 01. ene  01 ene 09:10 CET  Aterrizado",FR4687 RYR295U  Ryanair FR/RYR,Stockholm (ARN / ESSA),01 ene 09:10 CET  01 ene 08:10 UTC,01 ene 09:20 CET  10 min tarde,01 ene 13:28 CET  6 min temprano,4h 8m,Málaga,LEMG
"jue, 01. ene  01 ene 09:10 CET  Aterrizado",FR6106 RYR65PP  Ryanair FR/RYR,Rome (FCO / LIRF),01 ene 09:10 CET  01 ene 08:10 UTC,01 ene 09:49 CET  39 min tarde,01 ene 11:56 CET  11 min tarde,2h 7m,Málaga,LEMG
"jue, 01. ene  01 ene 09:25 CET  Aterrizado",W46308 WMT2551  Wizz Air Malta W4/WMT,Milan (MXP / LIMC),01 ene 09:25 CET  01 ene 08:25 UTC,01 ene 09:41 CET  16 min tarde,01 ene 11:42 CET  17 min temprano,2h 1m,Málaga,LEMG
"jue, 01. ene  01 ene 09:25 CET  Aterrizado",VY2114 VLG87YB  Vueling VY/VLG,Barcelona (BCN / LEBL),01 ene 09:25 CET  01 ene 08:25 UTC,01 ene 09:32 CET  7 min tarde,01 ene 10:50 CET  10 min temprano,1h 17m,Málaga,LEMG
"jue, 01. ene  01 ene 09:30 CET  Aterrizado",FR2541 RYR64TW  Ryanair FR/RYR,Memmingen (FMM / EDJA),01 ene 09:30 CET  01 ene 08:30 UTC,01 ene 10:30 CET  1 h 0 min tarde,01 ene 13:05 CET  40 min tarde,2h 34m,Málaga,LEMG
"jue, 01. ene  01 ene 09:40 CET  Aterrizado",FR600 RYR78JJ  Ryanair FR/RYR,Zagreb (ZAG / LDZA),01 ene 09:40 CET  01 ene 08:40 UTC,01 ene 10:02 CET  22 min tarde,01 ene 12:44 CET  a tiempo,2h 42m,Málaga,LEMG
"jue, 01. ene  01 ene 09:50 CET  Aterrizado",TB1012 JAF7VB  TUI Airlines Belgium TB/JAF,Brussels (BRU / EBBR),01 ene 09:50 CET  01 ene 08:50 UTC,01 ene 10:11 CET  21 min tarde,01 ene 12:40 CET  19 min temprano,2h 29m,Málaga,LEMG
"jue, 01. ene  01 ene 09:55 CET  Aterrizado",VY8172 VLG7ZE  Vueling VY/VLG,Paris (ORY / LFPO),01 ene 09:55 CET  01 ene 08:55 UTC,01 ene 10:32 CET  37 min tarde,01 ene 12:37 CET  7 min tarde,2h 4m,Málaga,LEMG
"jue, 01. ene  01 ene 10:00 CET  Aterrizado",FR9545 RYR25ZQ  Ryanair FR/RYR,Kaunas (KUN / EYKA),01 ene 10:00 CET  01 ene 09:00 UTC,01 ene 10:28 CET  28 min tarde,01 ene 20:29 EET  5 h 4 min tarde,9h,Málaga,LEMG
"jue, 01. ene  01 ene 08:05 CET  Aterrizado",FR4539 RYR4539  Ryanair FR/RYR,Tetuan (TTU / GMTN),01 ene 08:05 CET  01 ene 07:05 UTC,01 ene 08:17 CET  12 min tarde,01 ene 08:37 UTC+01  12 min temprano,20m,Málaga,LEMG
"jue, 01. ene  01 ene 08:45 CET  Aterrizado",IB2272 ANE63GR  Iberia IB/IBE,Melilla (MLN / GEML),01 ene 08:45 CET  01 ene 07:45 UTC,01 ene 08:45 CET  a tiempo,01 ene 09:25 CET  19 min temprano,39m,Málaga,LEMG
"jue, 01. ene  01 ene 08:50 CET  Aterrizado",FR482 RYR40GT  Ryanair FR/RYR,Barcelona (BCN / LEBL),01 ene 08:50 CET  01 ene 07:50 UTC,01 ene 08:58 CET  8 min tarde,01 ene 10:11 CET  18 min temprano,1h 13m,Málaga,LEMG
"jue, 01. ene  01 ene 09:05 CET  Aterrizado",FR2334 RYR30VW  Ryanair FR/RYR,Amsterdam (AMS / EHAM),01 ene 09:05 CET  01 ene 08:05 UTC,01 ene 10:06 CET  1 h 1 min tarde,01 ene 12:47 CET  32 min tarde,2h 40m,Málaga,LEMG
"jue, 01. ene  01 ene 09:10 CET  Aterrizado",IB528 IBE05FL  Iberia IB/IBE,Madrid (MAD / LEMD),01 ene 09:10 CET  01 ene 08:10 UTC,01 ene 09:38 CET  28 min tarde,01 ene 10:31 CET  1 min tarde,52m,Málaga,LEMG
"jue, 01. ene  01 ene 09:10 CET  Aterrizado",FR6106 RYR65PP  Ryanair FR/RYR,Rome (FCO / LIRF),01 ene 09:10 CET  01 ene 08:10 UTC,01 ene 09:49 CET  39 min tarde,01 ene 11:56 CET  11 min tarde,2h 7m,Málaga,LEMG
"jue, 01. ene  01 ene 09:10 CET  Aterrizado",FR4687 RYR295U  Ryanair FR/RYR,Stockholm (ARN / ESSA),01 ene 09:10 CET  01 ene 08:10 UTC,01 ene 09:20 CET  10 min tarde,01 ene 13:28 CET  6 min temprano,4h 8m,Málaga,LEMG
"jue, 01. ene  01 ene 09:25 CET  Aterrizado",W46308 WMT2551  Wizz Air Malta W4/WMT,Milan (MXP / LIMC),01 ene 09:25 CET  01 ene 08:25 UTC,01 ene 09:41 CET  16 min tarde,01 ene 11:42 CET  17 min temprano,2h 1m,Málaga,LEMG
"jue, 01. ene  01 ene 09:25 CET  Aterrizado",VY2114 VLG87YB  Vueling VY/VLG,Barcelona (BCN / LEBL),01 ene 09:25 CET  01 ene 08:25 UTC,01 ene 09:32 CET  7 min tarde,01 ene 10:50 CET  10 min temprano,1h 17m,Málaga,LEMG
"jue, 01. ene  01 ene 09:30 CET  Aterrizado",FR2541 RYR64TW  Ryanair FR/RYR,Memmingen (FMM / EDJA),01 ene 09:30 CET  01 ene 08:30 UTC,01 ene 10:30 CET  1 h 0 min tarde,01 ene 13:05 CET  40 min tarde,2h 34m,Málaga,LEMG
"jue, 01. ene  01 ene 09:40 CET  Aterrizado",FR600 RYR78JJ  Ryanair FR/RYR,Zagreb (ZAG / LDZA),01 ene 09:40 CET  01 ene 08:40 UTC,01 ene 10:02 CET  22 min tarde,01 ene 12:44 CET  a tiempo,2h 42m,Málaga,LEMG
"jue, 01. ene  01 ene 09:50 CET  Aterrizado",TB1012 JAF7VB  TUI Airlines Belgium TB/JAF,Brussels (BRU / EBBR),01 ene 09:50 CET  01 ene 08:50 UTC,01 ene 10:11 CET  21 min tarde,01 ene 12:40 CET  19 min temprano,2h 29m,Málaga,LEMG
"jue, 01. ene  01 ene 09:55 CET  Aterrizado",VY8172 VLG7ZE  Vueling VY/VLG,Paris (ORY / LFPO),01 ene 09:55 CET  01 ene 08:55 UTC,01 ene 10:32 CET  37 min tarde,01 ene 12:37 CET  7 min tarde,2h 4m,Málaga,LEMG
"jue, 01. ene  01 ene 10:00 CET  Aterrizado",FR9545 RYR25ZQ  Ryanair FR/RYR,Kaunas (KUN / EYKA),01 ene 10:00 CET  01 ene 09:00 UTC,01 ene 10:28 CET  28 min tarde,01 ene 20:29 EET  5 h 4 min tarde,9h,Málaga,LEMG
"jue, 01. ene  01 ene 10:10 CET  Aterrizado",QS1155 TVS8KV  SmartWings QS/TVS,Prague (PRG / LKPR),01 ene 10:10 CET  01 ene 09:10 UTC,01 ene 10:39 CET  29 min tarde,01 ene 13:32 CET  7 min tarde,2h 53m,Málaga,LEMG
"jue, 01. ene  01 ene 10:10 CET  Aterrizado",FR2274 RYR5361  Ryanair FR/RYR,Budapest (BUD / LHBP),01 ene 10:10 CET  01 ene 09:10 UTC,01 ene 11:07 CET  57 min tarde,01 ene 14:10 CET  30 min tarde,3h 2m,Málaga,LEMG
"jue, 01. ene  01 ene 10:15 CET  Aterrizado",W46026 WMT8686  Wizz Air Malta W4/WMT,Rome (FCO / LIRF),01 ene 10:15 CET  01 ene 09:15 UTC,01 ene 10:48 CET  33 min tarde,01 ene 12:56 CET  1 min tarde,2h 8m,Málaga,LEMG
"jue, 01. ene  01 ene 10:15 CET  Aterrizado",FR298 RYR298  Ryanair FR/RYR,Berlin (BER / EDDB),01 ene 10:15 CET  01 ene 09:15 UTC,01 ene 10:34 CET  19 min tarde,01 ene 13:33 CET  11 min temprano,2h 59m,Málaga,LEMG
"jue, 01. ene  01 ene 10:20 CET  Aterrizado",TO4611 TVF65XH  Transavia France TO/TVF,Paris (ORY / LFPO),01 ene 10:20 CET  01 ene 09:20 UTC,01 ene 10:59 CET  39 min tarde,01 ene 13:05 CET  10 min tarde,2h 6m,Málaga,LEMG
"jue, 01. ene  01 ene 10:20 CET  Aterrizado",HV9036 TRA96R  Transavia HV/TRA,Brussels (BRU / EBBR),01 ene 10:20 CET  01 ene 09:20 UTC,01 ene 10:37 CET  17 min tarde,01 ene 13:08 CET  1 min temprano,2h 30m,Málaga,LEMG
"jue, 01. ene  01 ene 10:25 CET  Cancelado",U24798 easyJet U2/EZY,Nantes (NTE / LFRS),01 ene 10:25 CET  01 ene 09:25 UTC,,,2h 10m,Málaga,LEMG
"jue, 01. ene  01 ene 10:25 CET  Aterrizado",FR6862 RYR6862  Ryanair FR/RYR,Poznan (POZ / EPPO),01 ene 10:25 CET  01 ene 09:25 UTC,01 ene 11:01 CET  36 min tarde,01 ene 14:10 CET  10 min tarde,3h 9m,Málaga,LEMG
"jue, 01. ene  01 ene 10:30 CET  Aterrizado",U23770 EJU16LT  easyJet U2/EZY,Milan (MXP / LIMC),01 ene 10:30 CET  01 ene 09:30 UTC,01 ene 11:42 CET  1 h 12 min tarde,01 ene 13:40 CET  35 min tarde,1h 58m,Málaga,LEMG
