FECHA,GRAVEDAD,ORIGEN_ICAO,DESTINO_ICAO,COMPAÑIA,RETRASO_MIN,HORA_SIN,HORA_COS,MINUTOS_DIA,PRECIP_MOMENTO,TEMP_ESTIMADA,Racha (km/h)
01/01/2026,0,LEMD,EHAM,Air Europa,18,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,1,LEMD,GCLP,Air Europa,20,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,1,LEMD,LEVC,Air Europa,42,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,0,LEMD,LEBL,Iberia,10,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,1,LEMD,EDDF,Air Europa,25,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,1,LEMD,LIPX,Ryanair,36,0.9978589232386035,0.06540312923014305,345,0.0,-2.7,18.0
01/01/2026,1,LEMD,EGSS,Ryanair,38,0.9978589232386035,0.06540312923014305,345,0.0,-2.7,18.0
01/01/2026,1,LEMD,EBBR,Ryanair,45,0.9990482215818578,0.04361938736533623,350,0.0,-2.7,18.0
01/01/2026,2,LEMD,LMML,Ryanair,46,0.9990482215818578,0.04361938736533623,350,0.0,-2.7,18.0
01/01/2026,1,LEMD,LIRF,Alitalia,29,0.9990482215818578,0.04361938736533623,350,0.0,-2.7,18.0
01/01/2026,1,LEMD,EHAM,KLM Royal Dutch Airlines,31,1.0,6.123233995736766e-17,360,0.0,-2.7,18.0
01/01/2026,1,LEMD,LFPG,Air France,37,1.0,6.123233995736766e-17,360,0.0,-2.7,18.0
01/01/2026,1,LEMD,EBCI,Ryanair,44,0.9990482215818578,-0.04361938736533589,370,0.0,-2.7,18.0
01/01/2026,1,LEMD,GCRR,Ryanair,36,0.9990482215818578,-0.04361938736533589,370,0.0,-2.7,18.0
01/01/2026,0,LEMD,LTFM,Turkish Airlines,13,0.9961946980917455,-0.08715574274765824,380,0.0,-2.7,18.0
01/01/2026,0,LEMD,LPPR,Ethiopian Airlines,18,0.9940563382223196,-0.10886687485196461,385,0.0,-2.7,18.0
01/01/2026,1,LEMD,EBBR,Brussels Airlines,31,0.9940563382223196,-0.10886687485196461,385,0.0,-2.7,18.0
01/01/2026,1,LEMD,LPPT,Air Europa,23,0.9914448613738105,-0.13052619222005138,390,0.0,-2.7,18.0
01/01/2026,1,LEMD,LPPR,Air Europa,28,0.9883615104677607,-0.1521233861899167,395,0.0,-2.7,18.0
01/01/2026,2,LEMD,SKBO,Avianca,74,0.9883615104677607,-0.1521233861899167,395,0.0,-2.7,18.0
01/01/2026,1,LEMD,EGLL,Iberia,22,0.9807852804032305,-0.19509032201612797,405,0.0,-2.7,18.0
01/01/2026,2,LEMD,LFPO,Transavia France,50,0.9807852804032305,-0.19509032201612797,405,0.0,-2.7,18.0
01/01/2026,1,LEMD,LIPZ,Air Europa,27,0.9713420698132614,-0.237685892326173,415,0.0,-2.7,18.0
01/01/2026,1,LEMD,GCLP,Binter Canarias,22,0.9659258262890683,-0.25881904510252085,420,0.0,-2.7,18.0
01/01/2026,1,LEMD,GCXO,Binter Canarias,28,0.9659258262890683,-0.25881904510252085,420,0.0,-2.7,18.0
01/01/2026,0,LEMD,GCXO,Air Europa,16,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,1,LEMD,EDDM,Air Europa,23,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,1,LEMD,EDDF,Air Europa,25,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,1,LEMD,LEVC,Air Europa,42,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,1,LEMD,LIRF,Air Europa,33,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,1,LEMD,GCLP,Air Europa,20,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,0,LEMD,LEBL,Iberia,10,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,3,LEMD,LEAL,Air Europa,136,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,1,LEMD,EHAM,KLM Royal Dutch Airlines,31,1.0,6.123233995736766e-17,360,0.0,-2.7,18.0
01/01/2026,1,LEMD,LFPG,Air France,37,1.0,6.123233995736766e-17,360,0.0,-2.7,18.0
01/01/2026,1,LEMD,GCRR,Ryanair,36,0.9990482215818578,-0.04361938736533589,370,0.0,-2.7,18.0
01/01/2026,1,LEMD,EBCI,Ryanair,44,0.9990482215818578,-0.04361938736533589,370,0.0,-2.7,18.0
01/01/2026,0,LEMD,LTFM,Turkish Airlines,13,0.9961946980917455,-0.08715574274765824,380,0.0,-2.7,18.0
01/01/2026,1,LEMD,EBBR,Brussels Airlines,31,0.9940563382223196,-0.10886687485196461,385,0.0,-2.7,18.0
01/01/2026,0,LEMD,LPPR,Ethiopian Airlines,18,0.9940563382223196,-0.10886687485196461,385,0.0,-2.7,18.0
01/01/2026,1,LEMD,LPPT,Air Europa,23,0.9914448613738105,-0.13052619222005138,390,0.0,-2.7,18.0
01/01/2026,2,LEMD,SKBO,Avianca,74,0.9883615104677607,-0.1521233861899167,395,0.0,-2.7,18.0
01/01/2026,1,LEMD,LPPR,Air Europa,28,0.9883615104677607,-0.1521233861899167,395,0.0,-2.7,18.0
01/01/2026,2,LEMD,LFPO,Transavia France,50,0.9807852804032305,-0.19509032201612797,405,0.0,-2.7,18.0
01/01/2026,1,LEMD,EGLL,Iberia,22,0.9807852804032305,-0.19509032201612797,405,0.0,-2.7,18.0
01/01/2026,1,LEMD,LIPZ,Air Europa,27,0.9713420698132614,-0.237685892326173,415,0.0,-2.7,18.0
01/01/2026,1,LEMD,GCLP,Binter Canarias,22,0.9659258262890683,-0.25881904510252085,420,0.0,-2.7,18.0
01/01/2026,1,LEMD,GCXO,Binter Canarias,28,0.9659258262890683,-0.25881904510252085,420,0.0,-2.7,18.0
01/01/2026,1,LEMD,LIRF,Air Europa,33,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,0,LEMD,LEPA,Iberia,14,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,1,LEMD,EDDF,Air Europa,25,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,0,LEMD,EHAM,Air Europa,18,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,0,LEMD,GCXO,Air Europa,16,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,0,LEMD,LEBL,Iberia,10,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,1,LEMD,LEVC,Air Europa,42,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,3,LEMD,LEAL,Air Europa,136,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,1,LEMD,EDDM,Air Europa,23,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
